time, path, sequence, highest ack, high ack time, last time ack, cwin, one-way-delay, rtt-sample, SRTT, RTT min, Bandwidth (B/s), Receive rate (B/s), Send MTU, pacing packet time(us), nb retrans, nb spurious, cwin blkd, flow blkd, stream blkd, app limited, cc_state, cc_param, bw_max, transit, 
51806, 0, 0, -1, 0, 0, 16596, 0, 49227, 49227, 49227, 0, 0, 1252, 7357, 0, 0, 0, 0, 0, 0, 0, 25108, 0, 0,
51851, 0, 1, -1, 0, 0, 16596, 0, 49227, 49227, 49227, 0, 0, 1252, 7357, 0, 0, 0, 0, 0, 0, 0, 25108, 0, 403,
51934, 0, 2, -1, 0, 0, 16596, 0, 49227, 49227, 49227, 0, 0, 1252, 7357, 0, 0, 0, 0, 0, 0, 0, 25108, 0, 586,
52864, 0, 3, -1, 0, 0, 16596, 0, 49227, 49227, 49227, 0, 0, 1252, 7357, 0, 0, 0, 0, 0, 0, 0, 25108, 0, 641,
175134, 0, 3, -1, 0, 0, 16596, 0, 49227, 49227, 49227, 0, 0, 1252, 7357, 1, 0, 0, 0, 0, 0, 0, 25108, 0, 732,
299147, 0, 4, -1, 0, 0, 16596, 0, 49227, 49227, 49227, 0, 0, 1252, 7357, 2, 0, 0, 0, 0, 0, 0, 25108, 0, 732,
313420, 0, 4, 2, 313420, 52864, 17264, 260556, 260476, 75633, 49227, 0, 11008, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 25108, 0, 311,
332691, 0, 5, 2, 313420, 52864, 17264, 260556, 260476, 75633, 49227, 0, 11008, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 25108, 0, 366,
332806, 0, 6, 2, 313420, 52864, 17264, 260556, 260476, 75633, 49227, 0, 11008, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 25108, 0, 421,
332858, 0, 7, 2, 313420, 52864, 17264, 260556, 260476, 75633, 49227, 0, 11008, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 25108, 0, 476,
344102, 0, 8, 2, 313420, 52864, 17264, 260556, 260476, 75633, 49227, 0, 11008, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 25108, 0, 531,
346101, 0, 8, 3, 346101, 299147, 1472, 36521, 46954, 72048, 46954, 0, 11008, 1252, 72048, 2, 1, 0, 0, 0, 1, 4, 14226, 1197, 220,
359188, 0, 8, 6, 359188, 332858, 1472, 25954, 26330, 66333, 26330, 1471, 11008, 1252, 66333, 2, 1, 0, 0, 0, 1, 4, 14226, 3470, 55,
396117, 0, 9, 6, 359188, 332858, 1472, 25954, 26330, 66333, 26330, 1471, 840140, 1252, 66333, 2, 1, 0, 0, 0, 1, 4, 14226, 3470, 110,
399025, 0, 10, 6, 359188, 332858, 1472, 25954, 26330, 66333, 26330, 1471, 840140, 1252, 66333, 2, 1, 0, 0, 0, 1, 4, 14226, 3470, 165,
401938, 0, 11, 6, 359188, 332858, 1472, 25954, 26330, 66333, 26330, 1471, 840140, 1252, 66333, 2, 1, 0, 0, 0, 1, 4, 14226, 3470, 220,
405283, 0, 12, 6, 359188, 332858, 1472, 25954, 26330, 66333, 26330, 1471, 840140, 1252, 66333, 2, 1, 0, 0, 0, 1, 4, 14226, 3470, 275,
408704, 0, 13, 6, 359188, 332858, 1472, 25954, 26330, 66333, 26330, 1471, 840140, 1252, 66333, 2, 1, 0, 0, 0, 1, 4, 14226, 3470, 330,
412237, 0, 14, 6, 359188, 332858, 1472, 25954, 26330, 66333, 26330, 1471, 840140, 1252, 66333, 2, 1, 0, 0, 0, 1, 4, 14226, 3470, 385,
415853, 0, 15, 6, 359188, 332858, 1472, 25954, 26330, 66333, 26330, 1471, 840140, 1252, 66333, 2, 1, 0, 0, 0, 1, 4, 14226, 3470, 440,
419252, 0, 16, 6, 359188, 332858, 1472, 25954, 26330, 66333, 26330, 1471, 840140, 1252, 66333, 2, 1, 0, 0, 0, 1, 4, 14226, 3470, 495,
422598, 0, 17, 6, 359188, 332858, 1472, 25954, 26330, 66333, 26330, 1471, 840140, 1252, 66333, 2, 1, 0, 0, 0, 1, 4, 14226, 3470, 550,
424884, 0, 18, 6, 359188, 332858, 1472, 25954, 26330, 66333, 26330, 1471, 840140, 1252, 66333, 2, 1, 0, 0, 0, 1, 4, 14226, 3470, 605,
427095, 0, 19, 6, 359188, 332858, 1472, 25954, 26330, 66333, 26330, 1471, 840140, 1252, 66333, 2, 1, 0, 0, 0, 1, 4, 14226, 3470, 660,
429172, 0, 20, 6, 359188, 332858, 1472, 25954, 26330, 66333, 26330, 1471, 840140, 1252, 66333, 2, 1, 0, 0, 0, 1, 4, 14226, 3470, 715,
431288, 0, 21, 6, 359188, 332858, 1472, 25954, 26330, 66333, 26330, 1471, 840140, 1252, 66333, 2, 1, 0, 0, 0, 1, 4, 14226, 3470, 770,
433998, 0, 22, 6, 359188, 332858, 1472, 25954, 26330, 66333, 26330, 1471, 840140, 1252, 66333, 2, 1, 0, 0, 0, 1, 4, 14226, 3470, 825,
436948, 0, 23, 6, 359188, 332858, 1472, 25954, 26330, 66333, 26330, 1471, 840140, 1252, 66333, 2, 1, 0, 0, 0, 1, 4, 14226, 3470, 880,
439801, 0, 24, 6, 359188, 332858, 1472, 25954, 26330, 66333, 26330, 1471, 840140, 1252, 66333, 2, 1, 0, 0, 0, 1, 4, 14226, 3470, 935,
442745, 0, 25, 6, 359188, 332858, 1472, 25954, 26330, 66333, 26330, 1471, 840140, 1252, 66333, 2, 1, 0, 0, 0, 1, 4, 14226, 3470, 990,
443068, 0, 25, 14, 443068, 415853, 5008, 26071, 27135, 61433, 26330, 3751, 1077672, 1252, 61433, 2, 1, 0, 0, 0, 1, 5, 14226, 3751, 550,
443087, 0, 26, 14, 443068, 415853, 5008, 26071, 27135, 61433, 26330, 3751, 1077672, 1252, 61433, 2, 1, 0, 0, 0, 1, 5, 14226, 3751, 605,
444505, 0, 27, 14, 443068, 415853, 5008, 26071, 27135, 61433, 26330, 3751, 1077672, 1252, 61433, 2, 1, 0, 0, 0, 1, 5, 14226, 3751, 660,
446140, 0, 28, 14, 443068, 415853, 5008, 26071, 27135, 61433, 26330, 3751, 1077672, 1252, 61433, 2, 1, 0, 0, 0, 1, 5, 14226, 3751, 715,
448838, 0, 29, 14, 443068, 415853, 5008, 26071, 27135, 61433, 26330, 3751, 1077672, 1252, 61433, 2, 1, 0, 0, 0, 1, 5, 14226, 3751, 770,
451551, 0, 30, 14, 443068, 415853, 5008, 26071, 27135, 61433, 26330, 3751, 1077672, 1252, 61433, 2, 1, 0, 0, 0, 1, 5, 14226, 3751, 825,
454233, 0, 31, 14, 443068, 415853, 5008, 26071, 27135, 61433, 26330, 3751, 1077672, 1252, 61433, 2, 1, 0, 0, 0, 1, 5, 14226, 3751, 880,
456932, 0, 32, 14, 443068, 415853, 5008, 26071, 27135, 61433, 26330, 3751, 1077672, 1252, 61433, 2, 1, 0, 0, 0, 1, 5, 14226, 3751, 935,
458243, 0, 32, 22, 458243, 436948, 5008, 21295, 21295, 56415, 21295, 5620, 1077672, 1252, 56415, 2, 1, 0, 0, 0, 1, 5, 14226, 12941, 550,
460575, 0, 33, 22, 458243, 436948, 5008, 21295, 21295, 56415, 21295, 5620, 1077672, 1252, 56415, 2, 1, 0, 0, 0, 1, 5, 14226, 12941, 605,
464020, 0, 34, 22, 458243, 436948, 5008, 21295, 21295, 56415, 21295, 5620, 1077672, 1252, 56415, 2, 1, 0, 0, 0, 1, 5, 14226, 12941, 660,
466969, 0, 35, 22, 458243, 436948, 5008, 21295, 21295, 56415, 21295, 5620, 1077672, 1252, 56415, 2, 1, 0, 0, 0, 1, 5, 14226, 12941, 715,
469779, 0, 37, 22, 458243, 436948, 5008, 21295, 21295, 56415, 21295, 5620, 1077672, 1252, 56415, 2, 1, 0, 0, 0, 1, 5, 14226, 12941, 770,
470370, 0, 37, 22, 458243, 436948, 5008, 21295, 21295, 56415, 21295, 5620, 1077672, 1252, 56415, 3, 1, 0, 0, 0, 1, 5, 14226, 12941, 715,
472271, 0, 38, 22, 458243, 436948, 5008, 21295, 21295, 56415, 21295, 5620, 1077672, 1252, 56415, 3, 1, 0, 0, 0, 1, 5, 14226, 12941, 770,
473251, 0, 39, 22, 458243, 436948, 5008, 21295, 21295, 56415, 21295, 5620, 1077672, 1252, 56415, 3, 1, 0, 0, 0, 1, 5, 14226, 12941, 825,
475444, 0, 40, 22, 458243, 436948, 5008, 21295, 21295, 56415, 21295, 5620, 1077672, 1252, 56415, 3, 1, 0, 0, 0, 1, 5, 14226, 12941, 880,
475530, 0, 40, 30, 475530, 454233, 5008, 21297, 21297, 52025, 21295, 14226, 1077672, 1252, 52025, 4, 1, 0, 0, 0, 1, 5, 14226, 15783, 440,
477318, 0, 41, 30, 475530, 454233, 5008, 21297, 21297, 52025, 21295, 14226, 1077672, 1252, 52025, 4, 1, 0, 0, 0, 1, 5, 14226, 15783, 495,
479099, 0, 42, 30, 475530, 454233, 5008, 21297, 21297, 52025, 21295, 14226, 1077672, 1252, 52025, 4, 1, 0, 0, 0, 1, 5, 14226, 15783, 550,
480776, 0, 43, 30, 475530, 454233, 5008, 21297, 21297, 52025, 21295, 14226, 1077672, 1252, 52025, 4, 1, 0, 0, 0, 1, 5, 14226, 15783, 605,
482402, 0, 44, 30, 475530, 454233, 5008, 21297, 21297, 52025, 21295, 14226, 1077672, 1252, 52025, 4, 1, 0, 0, 0, 1, 5, 14226, 15783, 660,
483946, 0, 45, 30, 475530, 454233, 5008, 21297, 21297, 52025, 21295, 14226, 1077672, 1252, 52025, 4, 1, 0, 0, 0, 1, 5, 14226, 15783, 715,
485446, 0, 46, 30, 475530, 454233, 5008, 21297, 21297, 52025, 21295, 14226, 1077672, 1252, 52025, 4, 1, 0, 0, 0, 1, 5, 14226, 15783, 770,
486840, 0, 47, 30, 475530, 454233, 5008, 21297, 21297, 52025, 21295, 14226, 1077672, 1252, 52025, 4, 1, 0, 0, 0, 1, 5, 14226, 15783, 825,
488203, 0, 48, 30, 475530, 454233, 5008, 21297, 21297, 52025, 21295, 14226, 1077672, 1252, 52025, 4, 1, 0, 0, 0, 1, 5, 14226, 15783, 880,
489478, 0, 49, 30, 475530, 454233, 5008, 21297, 21297, 52025, 21295, 14226, 1077672, 1252, 52025, 4, 1, 0, 0, 0, 1, 5, 14226, 15783, 935,
490687, 0, 50, 30, 475530, 454233, 5008, 21297, 21297, 52025, 21295, 14226, 1077672, 1252, 52025, 4, 1, 0, 0, 0, 1, 5, 14226, 15783, 990,
491891, 0, 51, 30, 475530, 454233, 5008, 21297, 21297, 52025, 21295, 14226, 1077672, 1252, 52025, 4, 1, 0, 0, 0, 1, 5, 14226, 15783, 1045,
494878, 0, 52, 30, 475530, 454233, 5008, 21297, 21297, 52025, 21295, 14226, 1077672, 1252, 52025, 4, 1, 0, 0, 0, 1, 5, 14226, 15783, 1100,
500187, 0, 52, 38, 500187, 473251, 5008, 21215, 26928, 48887, 21295, 15040, 7225786, 1252, 48887, 4, 1, 0, 0, 0, 1, 5, 15040, 15783, 715,
503429, 0, 53, 38, 500187, 473251, 5008, 21215, 26928, 48887, 21295, 15040, 7225786, 1252, 48887, 4, 1, 0, 0, 0, 1, 5, 15040, 15783, 770,
511655, 0, 54, 38, 500187, 473251, 5008, 21215, 26928, 48887, 21295, 15040, 7225786, 1252, 48887, 4, 1, 0, 0, 0, 1, 5, 15040, 15783, 825,
520180, 0, 55, 38, 500187, 473251, 5008, 21215, 26928, 48887, 21295, 15040, 7225786, 1252, 48887, 4, 1, 0, 0, 0, 1, 5, 15040, 15783, 880,
528371, 0, 56, 38, 500187, 473251, 5008, 21215, 26928, 48887, 21295, 15040, 7225786, 1252, 48887, 4, 1, 0, 0, 0, 1, 5, 15040, 15783, 935,
536619, 0, 57, 38, 500187, 473251, 5008, 21215, 26928, 48887, 21295, 15040, 7225786, 1252, 48887, 4, 1, 0, 0, 0, 1, 5, 15040, 15783, 990,
538430, 0, 58, 38, 500187, 473251, 5008, 21215, 26928, 48887, 21295, 15040, 7225786, 1252, 48887, 4, 1, 0, 0, 0, 1, 5, 15040, 15783, 1045,
538978, 0, 59, 38, 500187, 473251, 5008, 21215, 26928, 48887, 21295, 15040, 7225786, 1252, 48887, 4, 1, 0, 0, 0, 1, 5, 15040, 15783, 1100,
539026, 0, 59, 46, 539026, 486840, 5008, 21218, 52178, 49298, 21295, 17940, 7225786, 1252, 49298, 4, 1, 0, 0, 0, 1, 5, 17940, 22954, 660,
539293, 0, 60, 46, 539026, 486840, 5008, 21218, 52178, 49298, 21295, 17940, 7225786, 1252, 49298, 4, 1, 0, 0, 0, 1, 5, 17940, 22954, 715,
543850, 0, 61, 46, 539026, 486840, 5008, 21218, 52178, 49298, 21295, 17940, 7225786, 1252, 49298, 4, 1, 0, 0, 0, 1, 5, 17940, 22954, 770,
544394, 0, 62, 46, 539026, 486840, 5008, 21218, 52178, 49298, 21295, 17940, 7225786, 1252, 49298, 4, 1, 0, 0, 0, 1, 5, 17940, 22954, 825,
550934, 0, 63, 46, 539026, 486840, 5008, 21218, 52178, 49298, 21295, 17940, 8470072, 1252, 49298, 4, 1, 0, 0, 0, 1, 5, 17940, 22954, 880,
557442, 0, 64, 46, 539026, 486840, 5008, 21218, 52178, 49298, 21295, 17940, 8470072, 1252, 49298, 4, 1, 0, 0, 0, 1, 5, 17940, 22954, 935,
