time, path, sequence, highest ack, high ack time, last time ack, cwin, one-way-delay, rtt-sample, SRTT, RTT min, Bandwidth (B/s), Receive rate (B/s), Send MTU, pacing packet time(us), nb retrans, nb spurious, cwin blkd, flow blkd, stream blkd, app limited, cc_state, cc_param, bw_max, transit, 
55547, 0, 0, -1, 0, 0, 16596, 0, 52271, 52271, 52271, 0, 0, 1252, 7357, 0, 0, 0, 0, 0, 0, 0, 23645, 0, 0,
55591, 0, 1, -1, 0, 0, 16596, 0, 52271, 52271, 52271, 0, 0, 1252, 7357, 0, 0, 0, 0, 0, 0, 0, 23645, 0, 403,
55682, 0, 2, -1, 0, 0, 16596, 0, 52271, 52271, 52271, 0, 0, 1252, 7357, 0, 0, 0, 0, 0, 0, 0, 23645, 0, 586,
56607, 0, 3, -1, 0, 0, 16596, 0, 52271, 52271, 52271, 0, 0, 1252, 7357, 0, 0, 0, 0, 0, 0, 0, 23645, 0, 641,
186406, 0, 3, -1, 0, 0, 16596, 0, 52271, 52271, 52271, 0, 0, 1252, 7357, 1, 0, 0, 0, 0, 0, 0, 23645, 0, 732,
318194, 0, 4, -1, 0, 0, 16596, 0, 52271, 52271, 52271, 0, 0, 1252, 7357, 2, 0, 0, 0, 0, 0, 0, 23645, 0, 732,
447934, 0, 4, -1, 0, 0, 16596, 0, 52271, 52271, 52271, 0, 0, 1252, 7357, 3, 0, 0, 0, 0, 0, 0, 23645, 0, 732,
579705, 0, 5, -1, 0, 0, 16596, 0, 52271, 52271, 52271, 0, 0, 1252, 7357, 4, 0, 0, 0, 0, 0, 0, 23645, 0, 732,
709519, 0, 5, -1, 0, 0, 16596, 0, 52271, 52271, 52271, 0, 0, 1252, 7357, 5, 0, 0, 0, 0, 0, 0, 23645, 0, 732,
856683, 0, 5, 4, 856683, 579705, 1252, 276978, 276938, 80354, 52271, 0, 3594, 1252, 80354, 5, 2, 0, 0, 0, 1, 4, 1809, 0, 0,
882157, 0, 6, 4, 856683, 579705, 1252, 276978, 276938, 80354, 52271, 0, 3594, 1252, 80354, 5, 2, 0, 0, 0, 1, 4, 1809, 0, 55,
882235, 0, 7, 4, 856683, 579705, 1252, 276978, 276938, 80354, 52271, 0, 3594, 1252, 80354, 5, 2, 0, 0, 0, 1, 4, 1809, 0, 110,
882269, 0, 8, 4, 856683, 579705, 1252, 276978, 276938, 80354, 52271, 0, 3594, 1252, 80354, 5, 2, 0, 0, 0, 1, 4, 1809, 0, 165,
896801, 0, 9, 4, 856683, 579705, 1252, 276978, 276938, 80354, 52271, 0, 3594, 1252, 80354, 5, 2, 0, 0, 0, 1, 4, 1809, 0, 220,
911869, 0, 9, 7, 911869, 882269, 5008, 26822, 29600, 74009, 29600, 386, 3594, 1252, 74009, 5, 2, 0, 0, 0, 1, 5, 1809, 386, 55,
911913, 0, 10, 7, 911869, 882269, 5008, 26822, 29600, 74009, 29600, 386, 3594, 1252, 74009, 5, 2, 0, 0, 0, 1, 5, 1809, 386, 110,
919635, 0, 11, 7, 911869, 882269, 5008, 26822, 29600, 74009, 29600, 386, 3594, 1252, 74009, 5, 2, 0, 0, 0, 1, 5, 1809, 386, 165,
925081, 0, 12, 7, 911869, 882269, 5008, 26822, 29600, 74009, 29600, 386, 3594, 1252, 74009, 5, 2, 0, 0, 0, 1, 5, 1809, 386, 220,
930594, 0, 13, 7, 911869, 882269, 5008, 26822, 29600, 74009, 29600, 386, 3594, 1252, 74009, 5, 2, 0, 0, 0, 1, 5, 1809, 386, 275,
