time, path, sequence, highest ack, high ack time, last time ack, cwin, one-way-delay, rtt-sample, SRTT, RTT min, Bandwidth (B/s), Receive rate (B/s), Send MTU, pacing packet time(us), nb retrans, nb spurious, cwin blkd, flow blkd, stream blkd, app limited, cc_state, cc_param, bw_max, transit, 
1334922, 0, 0, -1, 0, 0, 17869, 0, 41040, 221724, 40715, 891, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 891, 0,
1334922, 0, 1, -1, 0, 0, 17869, 0, 41040, 221724, 40715, 891, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 891, 403,
1335144, 0, 2, -1, 0, 0, 17869, 0, 41040, 221724, 40715, 891, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 891, 586,
1335993, 0, 3, -1, 0, 0, 17869, 0, 41040, 221724, 40715, 891, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 891, 641,
1362972, 0, 3, 1, 1362972, 1335144, 18331, 0, 27828, 197487, 27828, 0, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 891, 55,
1399407, 0, 4, 1, 1362972, 1335144, 18331, 0, 27828, 197487, 27828, 0, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 891, 110,
1409169, 0, 5, 1, 1362972, 1335144, 18331, 0, 27828, 197487, 27828, 0, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 891, 165,
1425955, 0, 6, 1, 1362972, 1335144, 18331, 0, 27828, 197487, 27828, 0, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 891, 220,
1428441, 0, 6, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 110,
1430908, 0, 7, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 165,
1435804, 0, 8, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 220,
1438636, 0, 9, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 275,
1443288, 0, 10, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 330,
1446128, 0, 11, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 385,
1448777, 0, 12, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 440,
1449010, 0, 13, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 495,
1449850, 0, 14, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 550,
1450816, 0, 15, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 605,
1452157, 0, 16, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 660,
1453990, 0, 17, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 715,
1455679, 0, 18, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 770,
1457459, 0, 19, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 825,
1461852, 0, 20, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 880,
1466255, 0, 21, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 935,
1468052, 0, 22, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 990,
1469806, 0, 23, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 1045,
1471536, 0, 24, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 1100,
1473716, 0, 25, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 1155,
1475537, 0, 26, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 1210,
1477264, 0, 27, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 1265,
1479023, 0, 28, 3, 1428441, 1399407, 18409, 0, 29034, 176430, 27828, 1190, 0, 1252, 7357, 2, 1, 0, 0, 0, 1, 0, 30357, 1190, 1320,
