time, path, sequence, highest ack, high ack time, last time ack, cwin, one-way-delay, rtt-sample, SRTT, RTT min, Bandwidth (B/s), Receive rate (B/s), Send MTU, pacing packet time(us), nb retrans, nb spurious, cwin blkd, flow blkd, stream blkd, app limited, cc_state, cc_param, bw_max, transit, 
65935, 0, 0, -1, 0, 0, 16596, 0, 63795, 63795, 63795, 0, 0, 1252, 7357, 0, 0, 0, 0, 0, 0, 0, 19374, 0, 0,
66004, 0, 1, -1, 0, 0, 16596, 0, 63795, 63795, 63795, 0, 0, 1252, 7357, 0, 0, 0, 0, 0, 0, 0, 19374, 0, 403,
66100, 0, 2, -1, 0, 0, 16596, 0, 63795, 63795, 63795, 0, 0, 1252, 7357, 0, 0, 0, 0, 0, 0, 0, 19374, 0, 586,
67024, 0, 3, -1, 0, 0, 16596, 0, 63795, 63795, 63795, 0, 0, 1252, 7357, 0, 0, 0, 0, 0, 0, 0, 19374, 0, 641,
223595, 0, 3, 2, 223595, 67024, 17173, 156571, 156547, 75389, 63795, 0, 18267, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 0, 0,
246942, 0, 4, 2, 223595, 67024, 17173, 156571, 156547, 75389, 63795, 0, 18267, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 0, 55,
257256, 0, 5, 2, 223595, 67024, 17173, 156571, 156547, 75389, 63795, 0, 18267, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 0, 110,
266126, 0, 6, 2, 223595, 67024, 17173, 156571, 156547, 75389, 63795, 0, 18267, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 0, 165,
274479, 0, 6, 3, 274479, 246942, 17212, 22517, 27537, 69407, 27537, 216, 18267, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 216, 110,
277990, 0, 7, 3, 274479, 246942, 17212, 22517, 27537, 69407, 27537, 216, 18267, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 216, 165,
286464, 0, 8, 3, 274479, 246942, 17212, 22517, 27537, 69407, 27537, 216, 18267, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 216, 220,
296153, 0, 9, 3, 274479, 246942, 17212, 22517, 27537, 69407, 27537, 216, 18267, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 216, 275,
305383, 0, 10, 3, 274479, 246942, 17212, 22517, 27537, 69407, 27537, 216, 167115, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 216, 330,
313641, 0, 11, 3, 274479, 246942, 17212, 22517, 27537, 69407, 27537, 216, 167115, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 216, 385,
321607, 0, 12, 3, 274479, 246942, 17212, 22517, 27537, 69407, 27537, 216, 167115, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 216, 440,
329085, 0, 13, 3, 274479, 246942, 17212, 22517, 27537, 69407, 27537, 216, 167115, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 216, 495,
334316, 0, 14, 3, 274479, 246942, 17212, 22517, 27537, 69407, 27537, 216, 167115, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 216, 550,
339736, 0, 15, 3, 274479, 246942, 17212, 22517, 27537, 69407, 27537, 216, 167115, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 216, 605,
344531, 0, 16, 3, 274479, 246942, 17212, 22517, 27537, 69407, 27537, 216, 167115, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 216, 660,
348907, 0, 18, 3, 274479, 246942, 17212, 22517, 27537, 69407, 27537, 216, 167115, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 216, 715,
350907, 0, 18, 11, 350907, 321607, 17524, 28084, 29220, 64383, 27537, 4141, 167115, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 4141, 275,
352449, 0, 19, 11, 350907, 321607, 17524, 28084, 29220, 64383, 27537, 4141, 167115, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 4141, 330,
356027, 0, 20, 11, 350907, 321607, 17524, 28084, 29220, 64383, 27537, 4141, 167115, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 4141, 385,
359480, 0, 21, 11, 350907, 321607, 17524, 28084, 29220, 64383, 27537, 4141, 167115, 1252, 7357, 0, 0, 0, 0, 0, 1, 0, 19374, 4141, 440,
